"id","module","title","format","priority","focal","focal_order","status","published","summary","who_for","audience","link_type","link_url","video_url","extra_files","image","license","date_published","r2i_attribution","owner","source_file","tags","related","note"
"cp-4-co-planning-models-overview","Detailed Practice in Action","Co-Planning Models Overview","Document","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","need to create"
"cp-4-co-planning-prework-prep","Detailed Practice in Action","Co-Planning Prework Prep","Document","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"cp-4-onboarding-training-new-co-planning-teams","Detailed Practice in Action","Onboarding / Training New Co-Planning Teams","Document","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","need to create"
"cp-4-using-exit-tickets-to-drive-mastery","Detailed Practice in Action","Using Exit Tickets to Drive Mastery","Document","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","[Marshall R2I] CO-PLANNING- Using Exit Tickets to Drive Mastery.pdf","","",""
"cp-4-guiding-prompts-for-general-education-teachers","Detailed Practice in Action","Guiding Prompts for General Education Teachers","Document","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","[Marshall R2I] CO-PLANNING- Guiding Prompts for GE Teachers.pdf","","",""
"cp-4-sample-schedules","Detailed Practice in Action","Sample Schedules","Template","Nice to Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"cp-4-student-work-analysis-to-fuel-planning","Detailed Practice in Action","Student Work Analysis to Fuel Planning","Document","Should Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","need to create"
"cp-4-coaching-a-co-planning-team-how-to","Detailed Practice in Action","Coaching a Co-Planning Team How-To","Document","Nice to Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","","","","","refine"
"cp-4-stem-prep-case-study-2-coaching-reset","Detailed Practice in Action","STEM Prep Case Study 2 — Coaching Reset","Case Study","Must Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","Kelley","","","","field access req'd"
"cp-4-stem-prep-case-study-3-adapting-for-el-swd","Detailed Practice in Action","STEM Prep Case Study 3 — Adapting for EL & SWD","Case Study","Should Have","FALSE","","planned","FALSE","","","","download","","","","","","","","Kelley","","","","field access req'd"
"cp-4-case-study-4","Detailed Practice in Action","Case Study 4","Case Study","Nice to Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","field access req'd"
"cp-5-using-data-to-drive-instructional-adjustments","Measurement & Progress Monitoring","Using Data to Drive Instructional Adjustments","Document","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","need to create"
"cp-5-bright-spotting","Measurement & Progress Monitoring","Bright Spotting","Tool","","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","confirm protocol"
"cp-5-logistics-design-reflection-tool","Measurement & Progress Monitoring","Logistics & Design Reflection Tool","Tool","","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"cp-5-implementation-tracker","Measurement & Progress Monitoring","Implementation Tracker","Tool","","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"cp-6-common-barriers-pitfalls","Common Pitfalls & Barriers","Common Barriers / Pitfalls","Document","Should Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","","","","","exists in deck"
"cp-6-protecting-co-planning-time","Common Pitfalls & Barriers","Protecting Co-Planning Time","Document","Should Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","need to create"
"cp-7-chapter-revised","Learning More","Chapter (Revised)","Document","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","long-form; own page; R2I revision"
