"id","module","title","format","priority","focal","focal_order","status","published","summary","who_for","audience","link_type","link_url","video_url","extra_files","image","image_caption","body","why_it_works","quote","overview","license","date_published","r2i_attribution","owner","source_file","tags","related","note","gated"
"lit-multisyllabic-word-reading","Secondary Literacy","Developing Multisyllabic Word Reading Skills in Adolescent Readers","Document","","TRUE","4","ready","TRUE","Explores word study intervention using authentic texts from content-area courses.","","","download","","","","collections/lit-03.png","Uncommon Charter High School, Brooklyn, NY","Multisyllabic words make up the majority of words that secondary readers encounter in text. As a result, weak or dysfluent multisyllabic word reading can significantly impact a student’s ability to access and make meaning from complex grade-level texts. This practice explores how to approach word study intervention to build secondary students’ multisyllabic word-reading skills using authentic texts from content area courses.","Research suggests that word study instruction can positively impact student reading, even in short increments of 5–10 minutes daily. || Explicit instruction designed to build morphological awareness has been shown to be especially helpful for English Language Learners and secondary students with disabilities.","By the end of the 2022–23 school year, all students at Uncommon Charter High School in Brooklyn, New York, enrolled in Academic Prep, a reading intervention class for 9th grade students with reading disabilities, read text with 98–100% accuracy.","FALSE","CC BY 4.0","","","","lit-multisyllabic-word-reading.pdf","","","migrated from CoLab Secondary Literacy collection","FALSE"
"lit-goal-setting-progress-monitoring","Secondary Literacy","Strengthening Timely Interventions Through Goal Setting and Progress Monitoring","Document","","TRUE","5","ready","TRUE","Guidance on progress-monitoring tool selection and data analysis for intervention decisions.","","","download","","","","collections/lit-04.png","A teacher at Green Dot’s Ánimo Watts College Preparatory Academy meets with a student to set goals for reading growth.","Effective implementation of secondary reading intervention requires establishing clear student goals, implementing valid and reliable assessments to monitor student progress toward those goals, and engaging in regular analysis of progress monitoring data to guide instruction and intervention planning decisions. This practice provides guidance on the selection of progress monitoring tools and outlines a process for collecting data, conferencing with students, and analyzing data to inform intervention decisions.","Consistent progress monitoring — in combination with data-based decision-making processes — helps educators tailor interventions to students’ needs. || Goal setting and progress monitoring help students visualize their progress and build important skills like self-monitoring and self-evaluation, which have been found to be especially beneficial for students with learning disabilities.","Half of the students who participated in the reading fluency intervention at Green Dot Public Schools during the 2022–23 school year increased their oral reading fluency by over 30 words-per-minute from fall to spring. As a result, Green Dot educators decided to exit these students from an oral reading fluency intervention because they had met the benchmark.","FALSE","CC BY 4.0","","","","lit-goal-setting-progress-monitoring.pdf","","","migrated from CoLab Secondary Literacy collection","FALSE"
"lit-educator-capacity-case-study","Secondary Literacy","Enhancing Educator Capacity to Implement Evidence-Based Reading Interventions for Secondary Readers","Case Study","","TRUE","6","ready","TRUE","Best practices for building the capacity of secondary educators to implement evidence-based interventions.","","","download","","","","collections/lit-05.png","Uncommon Charter High School, Brooklyn, NY","Educators need access to professional development and coaching aligned with the science of reading. This case study includes best practices for building the capacity of secondary educators to implement evidence-based interventions for student literacy. These practices emerged from two years of leading professional learning communities (PLCs) on evidence-based literacy interventions focused on applying the practices in secondary classroom settings. Together with corresponding recommended resources, they provide a blueprint for schools across the country to build educator capacity for teaching reading.","Professional development and coaching bridge theory and practice, supporting the consistent implementation of evidence-based interventions in classrooms and schools. || The practices described in this case study help secondary educators understand and apply the science of reading, while equipping them with the tools and coaching to teach reading skills as part of their core instruction.","100% of participants reported that the PLC enhanced their knowledge related to adolescent literacy, provided them with practical tools and resources that were applicable to their work, and was instrumental in addressing challenges faced within their roles and local contexts.","FALSE","CC BY 4.0","","","","lit-educator-capacity-case-study.pdf","","","migrated from CoLab Secondary Literacy collection","FALSE"
"mtss-full-collection","Data for MTSS","Navigating Data for Multi-Tiered Systems of Support (Full Collection)","Document","","TRUE","1","ready","TRUE","The complete Navigating Data for Multi-Tiered Systems of Support collection: equity-based practices for using data across district, school, and classroom levels.","","","download","","","","","","","","","TRUE","CC BY 4.0","","","","mtss-full-collection.pdf","","","migrated from CoLab Data for MTSS collection","FALSE"
"mtss-routine-data-cycles","Data for MTSS","Implementing Routine Data Cycles to Rapidly Address Student Needs","Document","","TRUE","2","ready","TRUE","Educators review classroom data regularly to identify needs and drive instruction through accessible data systems and disaggregation by subgroups.","","","download","","","","collections/mtss-01.png","Crown Prep Academy, Los Angeles, CA","Educators need dedicated opportunities to review classroom-level data regularly, identify student needs, and drive instructional decision-making and interventions. In addition, educators benefit from accessible data systems that allow them to sort student data in meaningful ways and disaggregate data by subgroups. This practice details the steps a school can take to design data routines so educators can respond in a timely manner to students’ needs and includes a routine data cycle protocol tool. It also describes how data systems and professional development can help strengthen these data routines for schools.","Disaggregated data allows focus on priority populations. || Data can identify and mitigate bias in the system. || Customized data visualization enhances existing systems.","STEM Preparatory Schools used routine data cycles to increase the percentage of students with disabilities who earned an A or B in math from 25% to 81%.","FALSE","CC BY 4.0","","","","mtss-routine-data-cycles.pdf","","","migrated from CoLab Data for MTSS collection","FALSE"
"mtss-site-based-data-routines","Data for MTSS","Establishing Effective Data Routines in Site-Based Teams","Document","","TRUE","3","ready","TRUE","School-based teams gather and use data to coordinate timely, targeted support for students across grade-level or departmental teams.","","","download","","","","collections/mtss-02.png","Teachers at Rosenwald Collegiate Academy, New Orleans, LA","School-based teams need to gather and use data to coordinate timely, targeted support for students across grade-, department-, or other site-level teams. This practice describes different types of school-based teams and their purposes, and explores how teams can create useful structures to ensure efficient meetings and foster accountability for resulting action items. Strong data routines used by teams of educators can help supplement the individual and regular use of data for decision-making in schools.","Site-based teams directly impact student learning experiences by ensuring that instruction is data-driven and based on individual student needs. || Increasing teacher capacity through site-based teams is particularly important for students of color and students with disabilities who are more likely to be placed with the least-skilled teachers. || Site-based teams aid both newer and veteran teachers to grow their knowledge and capacity for making data-driven decisions about student needs and to reflect on their own practices.","At Rosenwald Collegiate Academy (RCA), a Collegiate Academies high school in New Orleans, a new data teaming structure helped 92% of RCA’s students with disabilities achieve mastery on their LEAP and/or April Dunn projects in 2022–23, up from 44% at the end of the school year 2020–21.","FALSE","CC BY 4.0","","","","mtss-site-based-data-routines.pdf","","","migrated from CoLab Data for MTSS collection","FALSE"
"mtss-student-conferencing","Data for MTSS","Student Conferencing for Life and Academic Skills","Document","","TRUE","4","ready","TRUE","Consistent 1:1 coaching sessions where teachers help students set goals, create action plans, and reflect on progress.","","","download","","","","collections/mtss-03.png","A student conference at KIPP Navigate College Prep, San Jose, CA","Student conferencing is a consistent time for teachers to coach students 1:1 on how to set goals, make plans to achieve their goals, enact their plans, and reflect on their progress. This practice explains how 1:1 student conferencing can be implemented in a variety of configurations based on individual school capacity and student needs. The steps outline the skills students need in order to begin conferencing, as well as those they can gain by participating in conferencing.","One-on-one interactions between students and teachers during conferencing fosters a sense of belonging and deeper relationships. || Goal setting is associated with increased perseverance, higher aspirations, and positive homework behavior as well as some improved outcomes for the lowest-performing students.","At KIPP Navigate College Prep, biweekly student conferences led to all of the participating students increasing the number of classes they were passing during the school year and to over 75% of students passing all their classes.","FALSE","CC BY 4.0","","","","mtss-student-conferencing.pdf","","","migrated from CoLab Data for MTSS collection","FALSE"
"mtss-green-dot-case-study","Data for MTSS","How Network Leaders Use Data to Respond to School-Based Needs: Green Dot Public Schools","Case Study","","TRUE","5","ready","TRUE","How network-level leaders analyze data monthly to identify tiered supports for individual schools.","","","download","","","","collections/mtss-04.png","Leilani Abulon, Chief Programs Officer, Green Dot Public Schools California","The use of MTSS is not confined within the walls of a school building. It can also be used at a system level when network leaders consider how to best support each of their schools. This case study explores how Green Dot Public Schools California built a team of network-level leaders who meet monthly to analyze data and identify tiered supports for schools based on their needs.

“It helped me broaden my understanding of MTSS at the systems level, not just assigning and removing interventions to kids at the local level.” — Leilani Abulon, Chief Programs Officer","","“It helped me broaden my understanding of MTSS at the systems level, not just assigning and removing interventions to kids at the local level.” — Leilani Abulon, Chief Programs Officer","FALSE","CC BY 4.0","","","","mtss-green-dot-case-study.pdf","","","migrated from CoLab Data for MTSS collection","FALSE"
"mtss-strive-text-messaging-case-study","Data for MTSS","How to Improve Family Engagement with Text Messaging: STRIVE Prep","Case Study","","TRUE","6","ready","TRUE","A text-messaging intervention to keep families informed about student academic progress.","","","download","","","","collections/mtss-05.png","A STRIVE Prep Federal math teacher works with a student.","The COVID-19 pandemic physically disconnected students and families from their schools, forcing schools to consider new ways to engage families in the education system. STRIVE Prep developed a routine of using a text-messaging intervention to keep families informed about their students’ academic progress. This case study details how STRIVE Prep piloted text messaging with families of students with disabilities and includes steps a school can take to implement a similar text messaging intervention.

“It’s been great to know grades as they’re happening, not just get a progress report at the end of six weeks.” — Parent, STRIVE Prep SMART","","“It’s been great to know grades as they’re happening, not just get a progress report at the end of six weeks.” — Parent, STRIVE Prep SMART","FALSE","CC BY 4.0","","","","mtss-strive-text-messaging-case-study.pdf","","","migrated from CoLab Data for MTSS collection","FALSE"
"mtss-data-dashboard-how-to","Data for MTSS","How-To: Design and Prototype a Data Dashboard","Document","","TRUE","7","ready","TRUE","Guidance for developing custom data tools through iterative planning processes.","","","download","","","","collections/mtss-06.png","An educator at Summit Public Schools uses a data dashboard.","When existing data tools do not meet current needs and a school or network chooses to design a custom data tool, it is important to invest the necessary time and effort to ensure the tool is useful, usable, and utilized. The iterative process necessary to develop an effective data tool can be time-intensive. This guidance document provides school and network leaders with helpful recommendations for the planning process.","","","FALSE","CC BY 4.0","","","","mtss-data-dashboard-how-to.pdf","","","migrated from CoLab Data for MTSS collection","FALSE"
"post-full-collection","Postsecondary","Igniting Postsecondary Aspirations (Full Collection)","Document","","TRUE","1","ready","TRUE","The complete Igniting Postsecondary Aspirations collection: proven school-based practices for college, career, and community postsecondary pathways.","","","download","","","","","","","","","TRUE","CC BY 4.0","","","","post-full-collection.pdf","","","migrated from CoLab Postsecondary collection","FALSE"
"post-school-based-transition-teams","Postsecondary","Building School-Based Transition Teams to Accelerate Student Progress Toward Postsecondary Goals","Document","","TRUE","2","ready","TRUE","Routine monitoring and collaborative action to support students toward postsecondary goals.","","","download","","","","collections/post-01.png","The postsecondary transition team meets at Simon Gratz High School, Philadelphia, PA.","When schools routinely monitor transition progress, they can intervene and adapt supports for students when data indicates they are struggling. This practice explores how transition teams can regularly review data and collaboratively take action to support students throughout the year in order to ensure all students achieve their postsecondary goals.","Transition planning has an outsized impact on a student’s ability to access and succeed in postsecondary opportunities, particularly for students with disabilities. || Regular review of student progress data ensures students are on track to meet their postsecondary milestones or goals long before the end of their senior year. || When teams are composed of a diverse set of staff members with various knowledge and viewpoints, they can inclusively support choice-filled postsecondary pathways.","In 2021, at Simon Gratz High School, the transition team’s efforts increased the percentage of ​students enrolled and engaged in postsecondary pathways in education, workforce, military, or job training ​from 53% to 77%.​ For the class of 2022, 95% of graduates were engaged in their postsecondary pathway one year after graduation.","FALSE","CC BY 4.0","","","","post-school-based-transition-teams.pdf","","","migrated from CoLab Postsecondary collection","FALSE"
"post-external-partnerships","Postsecondary","Establishing External Partnerships to Strengthen Work-Based Learning Opportunities","Document","","TRUE","3","ready","TRUE","Dual enrollment programs and partnerships with external organizations to expand work-based learning.","","","download","","","","collections/post-02.png","Students at Mastery Schools, Philadelphia, PA","Dual enrollment programs allow students to receive high school credit while also meeting requirements for college, certification, licensing, or other pathways students may choose to enroll in after high school. This practice explores how schools can develop strong partnerships with external organizations or institutions, both public and private, so students have the chance to prepare for the postsecondary pathway of their choosing.","Students can leave high school with work experience, new skills, and a potential future career. || Students can earn credit toward graduation while exploring potential postsecondary pathways. || School staff can ensure that programs are a good fit for students and that program staff understand student needs.","At Mastery Schools’ Simon Gratz High School in Philadelphia, PA, the transition team developed a way for students to get high school credit for participating in work-based learning opportunities during the school day. Within three years, the number of spots available to students pursuing postsecondary employment increased from seven to ninety-one.","FALSE","CC BY 4.0","","","","post-external-partnerships.pdf","","","migrated from CoLab Postsecondary collection","FALSE"
"post-summer-transition-programming","Postsecondary","Providing Summer Transition Programming for Postsecondary Success","Document","","TRUE","4","ready","TRUE","Post-graduation support and coaching to carry students into postsecondary success.","","","download","","","","collections/post-03.png","Mastery Schools, Philadelphia, PA","Students with disabilities do not just need to graduate from high school. They also need to successfully complete their transition plans so that they can follow their chosen path after graduation. This practice from Mastery Schools explores how to support students, even after graduation, to finish essential steps for postsecondary success in college, careers, and the community.","Targeted transition planning and support beyond graduation ensures that students who choose a non-college pathway have the same support as their peers. || Similar models of summer postsecondary support show promising results and can be applied for alternative pathways.","Over nearly five weeks, the postsecondary team at Simon Gratz High School provided individual coaching to about 60 students with disabilities in-person and remotely. By the end of summer, 87% of students had engaged in summer touchpoints with their coach, and 80% of students had begun their postsecondary pathway.","FALSE","CC BY 4.0","","","","post-summer-transition-programming.pdf","","","migrated from CoLab Postsecondary collection","FALSE"
"post-uncommon-families-case-study","Postsecondary","Partnering with Families to Expand Enrollment in Community-Based Programs: Uncommon Schools","Case Study","","TRUE","5","ready","TRUE","Building strategic relationships with families and local organizations to expand enrollment.","","","download","","","","collections/post-04.png","Tonya Ballard, Special Educator and Instructional Leader, Uncommon Schools","Successful transition requires schools and educators to engage directly with students and their families. This case study explores how educators at North Star Academy Lincoln Park High School in Newark, NJ, developed strategic relationships with students, families, and local organizations that provide postsecondary resources to students — and supported student submission and completion of applications to the organizations.

“My goal is just to be the person who is the bridge.” —Tonya Ballard, Uncommon Special Educator and Instructional Leader","","“My goal is just to be the person who is the bridge.” —Tonya Ballard, Uncommon Special Educator and Instructional Leader","FALSE","CC BY 4.0","","","","post-uncommon-families-case-study.pdf","","","migrated from CoLab Postsecondary collection","FALSE"
"post-uncommon-alumni-coaches-case-study","Postsecondary","Developing Relationships Between Students and Alumni Success Coaches: Uncommon Schools","Case Study","","TRUE","6","ready","TRUE","Partnership between special education and postsecondary teams through alumni success coaching.","","","download","","","","collections/post-05.png","Roy Pellew, Alumni Success Coach, Uncommon Schools","Counselors who support students after graduation need to understand the unique needs of students with disabilities. This case study explores how Uncommon Schools’ special education and postsecondary teams partnered to facilitate relationships and effectively support students with disabilities during their high school-to-postsecondary transition.

“Students who don’t complete their exit interview are less likely to engage with us.” —Roy Pellew, Uncommon Alumni Success Coach","","“Students who don’t complete their exit interview are less likely to engage with us.” —Roy Pellew, Uncommon Alumni Success Coach","FALSE","CC BY 4.0","","","","post-uncommon-alumni-coaches-case-study.pdf","","","migrated from CoLab Postsecondary collection","FALSE"
"emot-full-collection","Emotional Support","Anchoring Emotions (Full Collection)","Document","","TRUE","1","ready","TRUE","The complete Anchoring Emotions collection: one school's skill-based practices for supporting students with emotional-based disabilities.","","","download","","","","","","","","","TRUE","CC BY 4.0","","","","emot-full-collection.pdf","","","migrated from CoLab Emotional Support collection","FALSE"
"emot-peer-mentorship","Emotional Support","Building Student Leaders: Peer-to-Peer Mentorship for Secondary Students","Document","","TRUE","2","ready","TRUE","A peer-to-peer mentorship model that builds student leaders among secondary students.","","","download","","","","collections/emot-01.png","Student mentorship at Simon Gratz High School, Philadelphia, PA","Student mentorship pairs two students together in a mentee/mentor relationship for regular formal and informal check-ins to build positive peer relationships and increase student sense of belonging. This practice summarizes lessons learned from Mastery’s small-scale pilot and outlines the steps to implement a peer mentorship program in any school context.","Peer-to-peer mentorship teaches and models the development of social skills. || Students build connections and community at school. || Mentors gain confidence and leadership.","When Simon Gratz High School implemented peer-to-peer mentorship, the percentage of Anchor students attending school at least 90% of the time increased by 26 points.","FALSE","CC BY 4.0","","","","emot-peer-mentorship.pdf","","","migrated from CoLab Emotional Support collection","FALSE"
"emot-behavioral-feedback","Emotional Support","Providing Timely Behavioral Feedback Across Classrooms","Document","","TRUE","3","ready","TRUE","Systems for providing students timely, consistent behavioral feedback across classrooms.","","","download","","","","collections/emot-02.png","Behavioral feedback in action at Simon Gratz High School, Philadelphia, PA","Behavioral feedback is an intervention in which educators follow a defined protocol to provide immediate feedback to students on their application of taught behavioral skills, enabling them to effectively apply these skills in various contexts. When implemented with quality, behavioral feedback can have significant positive impacts on student skill development, overall behavior, and academic learning.","Interventions in inclusive settings help generalize learning. || Regular feedback positively reinforces prosocial behaviors. || Staff training leads to high-quality, timely, and targeted behavioral feedback.","Since 2019, the percentage of Simon Gratz High School students in Anchor who have had at least one suspension has declined by 36 points.","FALSE","CC BY 4.0","","","","emot-behavioral-feedback.pdf","","","migrated from CoLab Emotional Support collection","FALSE"
"emot-data-informed-systems-case-study","Emotional Support","Maximizing Student Progress Through Data-Informed Systems: Mastery Schools","Case Study","","TRUE","4","ready","TRUE","How Mastery Schools maximizes student progress through data-informed systems.","","","download","","","","collections/emot-03.png","Veronica Koff, Anchor Program Director, Mastery Schools","Data-based decision-making allows schools to set goals, adapt instruction, evaluate the effectiveness of programs and practices, improve policy, and reallocate resources to improve student outcomes — ensuring that interventions, instructional strategies, and accommodations have their desired effects. This case study explores how Mastery Schools’ investment in data systems that support the Anchor program ensures that the needs of students with emotional and behavioral disabilities are not overlooked by school or network staff.

“There are times when data may look a little off, but we can look at other data to understand what’s going on.” — Veronica Koff, Mastery Gratz Anchor Program Director","","“There are times when data may look a little off, but we can look at other data to understand what’s going on.” — Veronica Koff, Mastery Gratz Anchor Program Director","FALSE","CC BY 4.0","","","","emot-data-informed-systems-case-study.pdf","","","migrated from CoLab Emotional Support collection","FALSE"
"emot-quarterly-evaluation-case-study","Emotional Support","Refining Program Implementation via Quarterly Collaborative Evaluation at Mastery Schools","Case Study","","TRUE","5","ready","TRUE","How Mastery Schools refines program implementation through quarterly collaborative evaluation.","","","download","","","","collections/emot-04.png","Educators at Mastery Schools discuss implementation of the Anchor program.","Networks with multiple schools need systems and processes to ensure fidelity and quality of program implementation, particularly for programs like Anchor. This case study explores how network leadership and campus leaders at Mastery Schools meet on a quarterly basis to collaboratively conduct observations and review data against a multi-phase rubric to evaluate the effectiveness of program implementation and develop prioritized goals for improvement.

Over time, Mastery has been able to improve the Anchor program design, fidelity, and quality across their network to better educate students with emotional and behavioral disabilities.","","Over time, Mastery has been able to improve the Anchor program design, fidelity, and quality across their network to better educate students with emotional and behavioral disabilities.","FALSE","CC BY 4.0","","","","emot-quarterly-evaluation-case-study.pdf","","","migrated from CoLab Emotional Support collection","FALSE"
